公告🇨🇳,#genre#
更新日期,https://vd3.bdstatic.com/mda-miudgdgr6ie5s8ry/480p/h264/1632908022543580808/mda-miudgdgr6ie5s8ry.mp4
11月11日,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000crt6aenog65g22uq9p70&ratio=720p&line=0
全部免费,https://cfss.cc/api/kg/346.mp4
请勿购买,https://alimov2.a.kwimgs.com/bs3/video-hls/5224457186808550523_hlsb.m3u8
测试,http://106.5.79.230:4022/rtp/239.252.219.200:5140
节目频道,#genre#
CCTV1综合,http://58.20.77.182:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2财经,http://58.20.77.182:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3综艺,http://58.20.77.182:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4国际,http://58.20.77.182:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5体育,http://58.20.77.182:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6电影,http://58.20.77.182:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7国防军事,http://58.20.77.182:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8电视剧,http://58.20.77.182:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9纪录,http://58.20.77.182:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10科教,http://58.20.77.182:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11戏曲,http://58.20.77.182:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12社会与法,http://58.20.77.182:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13新闻,http://58.20.77.182:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14少儿,http://58.20.77.182:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15音乐,http://58.20.77.182:9901/tsfile/live/0015_1.m3u8?key=txiptv
星空卫视,http://wouu.net:9977/rtp/239.93.1.10:2193
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
凤凰卫视2,http://119.32.12.44:2901/udp/224.1.100.3:11111
澳亚卫视2,http://119.32.12.44:2901/udp/224.1.100.12:11111
星空卫视2,http://119.32.12.44:2901/udp/224.1.100.13:11111
甘肃卫视,http://119.32.12.44:2901/udp/224.1.100.10:11111
广东卫视,http://119.32.12.44:2901/udp/224.1.100.95:11111
广东卫视,http://119.32.12.44:2901/udp/224.1.100.96:11111
广西卫视,http://119.32.12.44:2901/udp/224.1.100.110:11111
广西卫视,http://119.32.12.44:2901/udp/224.1.100.111:11111
贵州卫视,http://119.32.12.44:2901/udp/224.1.100.57:11111
贵州卫视,http://119.32.12.44:2901/udp/224.1.100.58:11111
海南卫视,http://119.32.12.44:2901/udp/224.1.100.15:11111
海南卫视,http://119.32.12.44:2901/udp/224.1.100.16:11111
河北卫视,http://119.32.12.44:2901/udp/224.1.100.19:11111
河北卫视,http://119.32.12.44:2901/udp/224.1.100.20:11111
河南卫视,http://119.32.12.44:2901/udp/224.1.100.73:11111
河南卫视,http://119.32.12.44:2901/udp/224.1.100.74:11111
黑龙江卫视,http://119.32.12.44:2901/udp/224.1.100.139:11111
湖北卫视,http://119.32.12.44:2901/udp/224.1.100.67:11111
湖北卫视,http://119.32.12.44:2901/udp/224.1.100.68:11111
湖南卫视,http://119.32.12.44:2901/udp/224.1.100.97:11111
湖南卫视,http://119.32.12.44:2901/udp/224.1.100.98:11111
吉林卫视,http://119.32.12.44:2901/udp/224.1.100.59:11111
吉林卫视,http://119.32.12.44:2901/udp/224.1.100.60:11111
江苏卫视,http://119.32.12.44:2901/udp/224.1.100.45:11111
江苏卫视,http://119.32.12.44:2901/udp/224.1.100.46:11111
江西卫视,http://119.32.12.44:2901/udp/224.1.100.53:11111
江西卫视,http://119.32.12.44:2901/udp/224.1.100.55:11111
江浙卫视,http://119.32.12.44:2901/udp/224.1.100.51:11111
辽宁卫视,http://119.32.12.44:2901/udp/224.1.100.91:11111
辽宁卫视,http://119.32.12.44:2901/udp/224.1.100.92:11111
宁夏卫视,http://119.32.12.44:2901/udp/224.1.100.8:11111
青海卫视,http://119.32.12.44:2901/udp/224.1.100.127:11111
三沙卫视,http://119.32.12.44:2901/udp/224.1.100.148:11111
山东卫视,http://119.32.12.44:2901/udp/224.1.100.49:11111
山东卫视,http://119.32.12.44:2901/udp/224.1.100.50:11111
山西卫视,http://119.32.12.44:2901/udp/224.1.100.150:11111
深圳卫视,http://119.32.12.44:2901/udp/224.1.100.39:11111
深圳卫视,http://119.32.12.44:2901/udp/224.1.100.40:11111
四川卫视,http://119.32.12.44:2901/udp/224.1.100.71:11111
四川卫视,http://119.32.12.44:2901/udp/224.1.100.72:11111
天津卫视,http://119.32.12.44:2901/udp/224.1.100.61:11111
天津卫视,http://119.32.12.44:2901/udp/224.1.100.62:11111
西藏卫视,http://119.32.12.44:2901/udp/224.1.100.125:11111
